date,ODP,XRT
2013-05-02,3.79,73.37
2013-05-03,3.89,74.54
2013-05-06,3.95,74.51
2013-05-07,3.87,75.25
2013-05-08,3.86,75.39
2013-05-09,3.84,75.37
2013-05-10,3.95,76.45
2013-05-13,3.9,76.17
2013-05-14,3.98,77.34
2013-05-15,4.13,77.77
2013-05-16,3.98,76.93
2013-05-17,4.1,77.75
2013-05-20,4.22,78.11
2013-05-21,4.17,78.68
2013-05-22,4.2,77.93
2013-05-23,4.27,78.33
2013-05-24,4.31,77.59
2013-05-28,4.4,77.99
2013-05-29,4.34,77.52
2013-05-30,4.34,77.79
2013-05-31,4.41,77.6
2013-06-03,4.46,77.71
2013-06-04,4.34,77.42
2013-06-05,4.28,76.55
2013-06-06,4.33,77.09
2013-06-07,4.35,78.32
2013-06-10,4.28,78.55
2013-06-11,4.28,77.73
2013-06-12,4.19,76.81
2013-06-13,4.27,78.07
2013-06-14,4.25,77.62
2013-06-17,4.3,78.06
2013-06-18,4.31,78.79
2013-06-19,4.24,77.87
2013-06-20,4.1,75.89
2013-06-21,3.98,75.5
2013-06-24,3.86,74.59
2013-06-25,3.91,75.28
2013-06-26,3.93,75.79
2013-06-27,3.99,76.57
2013-06-28,3.87,76.61
2013-07-01,3.92,77.34
2013-07-02,3.99,77.45
2013-07-03,4.07,77.59
2013-07-05,4.14,78.59
2013-07-08,4.15,79.59
2013-07-09,4.23,80.23
2013-07-10,4.19,80.34
2013-07-11,4.29,81.01
2013-07-12,4.3,80.81
2013-07-15,4.34,81.22
2013-07-16,4.26,80.66
2013-07-17,4.22,80.64
2013-07-18,4.29,81.17
2013-07-19,4.33,80.88
2013-07-22,4.41,80.99
2013-07-23,4.4,80.88
2013-07-24,4.31,80.35
2013-07-25,4.45,81.26
2013-07-26,4.48,81.28
2013-07-29,4.27,81.15
2013-07-30,4.35,81.44
2013-07-31,4.33,81.68
2013-08-01,4.41,82.97
2013-08-02,4.41,83.1
2013-08-05,4.38,82.99
2013-08-06,4.31,81.97
2013-08-07,4.2,80.78
2013-08-08,4.24,81.53
2013-08-09,4.23,81.42
2013-08-12,4.37,81.79
2013-08-13,4.44,82.23
2013-08-14,4.49,81.648
2013-08-15,4.39,80.03
2013-08-16,4.29,79.41
2013-08-19,4.15,78.93
2013-08-20,4.24,80.14
2013-08-21,4.12,79.02
2013-08-22,4.15,79.14
2013-08-23,4.1,78.89
2013-08-26,4.21,78.84
2013-08-27,4.08,77.36
2013-08-28,4.2,77.79
2013-08-29,4.22,78.47
2013-08-30,4.19,77.88
2013-09-03,4.17,78.09
2013-09-04,4.31,78.69
2013-09-05,4.29,79.15
2013-09-06,4.21,78.75
