date,AEP,XLU,beta,value,price
2011-07-11,37.92,33.4,1.122047327028198,0.4436192772581862,30.443619277258186
2011-07-12,38.16,33.55,1.1225045639360653,0.4999718799450079,30.499971879945008
2011-07-13,37.97,33.46,1.1229811939395182,0.3950492507837211,30.39504925078372
2011-07-14,37.57,33.31,1.1234632265430995,0.14743992384935467,30.147439923849355
2011-07-15,37.48,33.36,1.1237462855550906,-0.008176086117828163,29.991823913882172
2011-07-18,37.11,33.04,1.1240468106521595,-0.028506623947350818,29.97149337605265
2011-07-19,37.39,33.33,1.1243749916824652,-0.085418472776567,29.914581527223433
2011-07-20,37.6,33.53,1.1246987187434445,-0.11114803946769314,29.888851960532307
2011-07-21,38.02,34.03,1.1249878748471518,-0.2633373810485722,29.736662618951428
2011-07-22,37.71,33.82,1.125207059616497,-0.34450275622992876,29.65549724377007
2011-07-25,37.74,33.94,1.1253641864301371,-0.4548604874388502,29.54513951256115
2011-07-26,37.7,33.82,1.1255571332228536,-0.3663422455969041,29.633657754403096
2011-07-27,37.69,33.72,1.1257888750883869,-0.2716008679804034,29.728399132019597
